source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,rsi_14,baseline_recomputed,baseline,20260305_153557,XOM,2025-05-12,short,10,HOLD,-0.04293288970313627,0,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153557,XOM,2025-05-12,short,10,SELL,-0.04293288970313627,1,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153557,XOM,2025-05-26,short,10,BUY,0.03574195897322012,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153557,XOM,2025-05-26,short,10,SELL,0.03574195897322012,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153558,XOM,2025-05-26,short,10,HOLD,0.03574195897322012,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153558,XOM,2025-05-26,short,10,SELL,0.03574195897322012,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153558,XOM,2025-06-09,short,10,BUY,0.032104337682102455,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153558,XOM,2025-06-09,short,10,SELL,0.032104337682102455,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153559,XOM,2025-06-09,short,10,HOLD,0.032104337682102455,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153559,XOM,2025-06-09,short,10,SELL,0.032104337682102455,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153559,XOM,2025-06-23,short,10,BUY,0.021925997170306327,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153559,XOM,2025-06-23,short,10,HOLD,0.021925997170306327,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153600,XOM,2025-06-23,short,10,SELL,0.021925997170306327,0,BUY,N/A
